avg_goldEarned	avg_kills	avg_deaths	avg_assists	avg_totalDamageTaken	avg_totalMinionsKilled	avg_visionScore	avg_visionWardsBoughtInGame	avg_gameDuration	var_goldEarned	var_kills	var_deaths	var_assists	var_totalDamageTaken	var_totalMinionsKilled	var_visionScore	var_visionWardsBoughtInGame	var_gameDuration	won	weight
13018.7816092	11.1954022989	7.79310344828	6.65517241379	23572.6436782	167.195402299	0.931034482755	0.0229885057471	1902.77011494	16382178.2742	36.7106019359	8.83560193587	13.5132335148	83822212.8668	3018.58802178	9.27208106474	0.0453720508167	248579.759452	36.091954023	67.1609195402	
11941.8059702	8.92537313433	6.46268656716	6.92537313433	27941.0149254	69.2835820896	0.597014925373	0.149253731343	1812.6119403	17708938.6644	17.4004396622	10.6166840217	17.3979521	168367025.836	1962.60323383	2.48270276524	0.123850225616	342691.245487	20.5820895522	31.8059701493	
12926.3333334	8.51851851852	5.75925925926	5.75925925926	24708.2592592	197.888888889	0.222222222223	0.259259259259	1848.09259259	14149178.5968	23.2199582824	7.27145231312	13.2899708317	67008311.2449	3157.91397877	2.28571428571	0.214133089133	176546.157569	7.11111111111	15.4444444444	
12471.5555556	7.94444444444	5.2962962963	5.37037037037	30547.3148148	76.8333333333	3.38888888889	0.833333333332	1831.5	20853611.7036	25.4737770352	8.15111853708	10.6265896222	148918053.41	1278.8983338	109.042328042	0.30121600297	374601.332869	9.07407407407	15.8148148148	
11651.0843374	7.33734939759	4.24096385542	6.06024096386	19143.7349398	135.457831325	1.5421686747	0.843373493976	1943.5060241	13142871.6808	14.302748012	4.00749634483	15.2960588899	54252325.7841	2644.83268096	35.3363237898	0.407437738666	240498.376074	11.1445783133	19.9397590361	
11305.95	8.13333333334	5.5	5.46666666667	21855.3666667	108.716666667	5.98333333333	0.883333333335	1790.96666667	24973282.4209	27.7405666882	8.16635486246	12.7810805861	117877186.322	3097.29883035	108.902442631	0.34303849745	452620.643131	4.9	10.2666666667	
12886.4307692	8.64615384616	7.09230769231	5.58461538461	30091.8153846	118.092307692	1.55384615385	0.507692307692	1947.89230769	11253721.7442	20.1343165606	10.4928378639	9.29857335645	92343921.9937	1594.60395219	19.129757085	0.437613263929	141862.376277	4.6	10.7846153846	
11228.5535715	9.75000000002	5.17857142857	5.64285714286	16203.6428571	127.857142857	1.44642857142	1.03571428571	1651.66071429	21500894.7207	32.2400412088	11.5010302198	19.4876373626	77408344.4552	2932.29498627	26.070970696	0.613553113553	413899.095352	29.7321428571	48.4642857143	
11610.3272727	6.52727272727	5.14545454546	6.5090909091	26305.4	118.218181818	7.03636363636	0.0363636363636	1795.45454545	11946466.9693	16.5546092504	6.08794258373	14.1658225985	83357838.6986	3149.57379217	49.4686271623	0.0242424242424	176816.503077	5.36363636364	12.3818181818	
11750.9577465	7.92957746479	6.74647887324	6.12676056338	24299.2535211	86.4788732395	0.30985915493	0.0845070422536	1922.67605634	20244809.7386	22.7346503262	12.8351091397	13.6235671605	134658600.28	1856.00424517	3.0898420828	0.0757575757576	401661.437291	10.0704225352	18.323943662	
11695.5542169	9.08433734943	5.32530120482	6.09638554217	18940.1686747	135.819277108	0.674698795181	0.879518072289	1819.56626506	21294757.0352	26.0114062808	8.01633172032	17.2763060439	85421230.2572	2999.8199684	16.5301204819	0.754332905392	431943.57461	28.0963855422	48.156626506	
11855.9508197	7.19672131148	6.65573770492	6.06557377049	21843.7377049	166.081967213	12.0327868853	0.72131147541	1878.62295082	11310034.1942	16.9261017671	8.9349470202	16.7459868001	61052828.378	1962.97713434	300.046039207	0.698370481977	204337.345437	11.1803278689	20.2459016393	
