avg_goldEarned	avg_kills	avg_deaths	avg_assists	avg_totalDamageTaken	avg_totalMinionsKilled	avg_visionScore	avg_visionWardsBoughtInGame	avg_gameDuration	var_goldEarned	var_kills	var_deaths	var_assists	var_totalDamageTaken	var_totalMinionsKilled	var_visionScore	var_visionWardsBoughtInGame	var_gameDuration	won	weight	solo_q_tier	solo_q_division	flex_tier	flex_division
11848.9809524	4.71428571429	4.54285714286	9.38095238096	14613.8190476	121.561904762	9.98095238096	3.90476190476	1979.38095238	11284220.7944	8.3701119546	5.55315789762	20.1950097495	36247506.52	2970.11603361	632.107961046	5.76109533668	221267.526658	8.31428571429	14.9619047619	PLATINUM	IV	SILVER	II
12811.1970803	8.76642335767	5.55474452555	8.33576642336	16783.2408759	185.518248175	1.35766423357	0.021897810219	1870.02919708	14909716.3866	20.7286028014	5.52099702522	18.8113707461	38570341.152	3353.72020639	19.7947979723	0.0171532846715	240514.242648	15.8686131387	30.4452554745	GOLD	IV	SILVER	III
11861.9891304	6.3152173913	5.65217391304	6.96739130435	20461.6304348	183.592391304	1.44565217391	0.239130434783	1815.1576087	15520135.3379	14.6923070491	7.43647148161	15.2860694802	75823368.2506	4334.42084889	22.0402642115	0.252499189416	273062.982962	13.6847826087	23.1739130435	PLATINUM	II	GOLD	V
12272.2063492	8.06349206349	4.68253968254	5.7619047619	16507.0476191	193.174603175	3.28571428571	0.555555555556	1717.61904762	26032949.2619	28.1555555556	5.72169312169	17.3319223986	55666728.7954	5725.07954144	61.4038800706	0.298589065256	363326.82769	21.0	32.9365079365	PLATINUM	III	DIAMOND	V
11625.3508772	7.91228070176	7.84210526317	7.94736842106	19392.0	145.96491228	0.0	0.736842105263	1809.40350877	17924883.9965	21.3737120579	12.9610136452	24.0884154832	74131733.092	2745.6460596	0.0	1.09760512392	321782.110276	5.36842105263	11.2456140351	SILVER	I		
11098.75	5.56666666667	5.41666666667	7.45	27990.95	160.216666666	0.0	1.35	1728.31666667	21643980.5452	13.735639413	11.8123689727	22.5842243187	270052121.12	4851.2995283	0.0	1.73894129979	431493.4413	26.5333333333	47.0666666667	PLATINUM	IV	PLATINUM	V
11577.1809524	5.88571428571	7.93333333333	8.42857142857	19150.1047619	130.895238095	3.45714285714	1.4	1839.24761905	16656820.8948	12.4879113525	13.2219686762	28.5872240596	67746247.9421	3895.72323556	163.005628403	1.58607214808	294027.225716	6.8380952381	15.380952381	GOLD	V	SILVER	I
12876.344	7.888	5.384	7.424	16454.536	187.84	5.032	1.152	1925.872	21606235.6805	24.0475786925	9.17109039548	22.2982471751	58490751.0484	4528.479795	133.177765133	0.504263317191	342241.065533	21.48	37.816	DIAMOND	V	GOLD	I
11077.24	5.90666666667	5.36	6.09333333333	17308.9333333	168.44	1.89333333333	1.14666666667	1702.13333333	17595101.0206	12.8018587531	8.94143087187	16.5729928686	70845107.3869	4352.97066368	27.518283874	0.927375201289	309952.064798	6.44	11.72	GOLD	IV	SILVER	II
11607.7910448	6.08955223881	8.26865671642	8.44776119403	19864.6865671	134.044776119	0.417910447761	0.776119402984	1872.20895522	15377185.1287	17.2139303483	11.250355366	20.5238095238	49391219.5112	2751.26442786	10.7263681592	0.719829424307	289118.650178	6.28358208955	10.7611940299	PLATINUM	II		
