avg_goldEarned	avg_kills	avg_deaths	avg_assists	avg_totalDamageTaken	avg_totalMinionsKilled	avg_visionScore	avg_visionWardsBoughtInGame	avg_gameDuration	var_goldEarned	var_kills	var_deaths	var_assists	var_totalDamageTaken	var_totalMinionsKilled	var_visionScore	var_visionWardsBoughtInGame	var_gameDuration	won	weight
12557.4222222	5.45555555556	4.63333333333	8.24444444444	16906.95	193.75	8.01666666667	1.71666666667	1884.92222222	22467928.1417	14.5758441833	8.43453498961	22.5105338364	75894769.555	5952.07993289	222.131702625	1.32513282671	357277.60551	24.7555555556	45.3666666667	
12773.9711539	7.78365384616	5.96153846154	7.96153846154	19883.7788461	183.841346154	2.75	0.0096153846154	1847.92788461	23553636.373	29.4725998634	8.67886944397	21.7775392422	85268334.98	5345.08408732	17.2051915573	0.0189990732159	327543.107914	26.8605769231	52.5480769231	
13462.4191176	7.11764705882	6.14705882353	6.17647058824	20879.6029412	215.522058824	0.801470588236	0.536764705882	1884.01470588	15729238.8714	21.8200381318	7.03640622041	15.7462057142	61727037.5188	3227.41928223	18.0801208595	0.496677056604	235591.911692	11.7573529412	20.75	
12138.2372263	6.90875912409	5.64233576642	7.04744525548	17034.7846715	176.098540146	0.0	0.189781021898	1844.74817518	20635567.3435	21.0317694345	8.69499205403	19.3110223803	58134195.5129	4388.67833446	0.0	0.144363554897	334168.665	35.2372262774	60.1094890511	
12740.7377049	8.18032786885	7.41803278688	7.31147540984	22193.3360656	181.598360656	0.0	0.114754098361	1875.28688524	19428560.0374	25.6864970523	12.9018898753	15.4377614379	82135872.5954	3565.90735235	0.0	0.0993696226254	289640.45305	10.8032786885	23.737704918	
13442.0	7.95505617978	6.85393258427	9.01123595505	23806.7078652	179.449438202	0.797752808989	1.34831460674	2006.85393258	16890523.4228	21.6248863733	9.36248458223	23.9274210808	89857865.4541	2851.74638253	11.8338202247	0.701765931683	285127.405516	8.4606741573	16.191011236	
13159.5301205	7.67469879518	5.4578313253	7.66265060241	18702.5060241	197.819277108	1.90361445783	0.855421686747	1957.21686747	25903042.2022	21.2042614904	10.2161144578	21.2148873271	83378328.3709	5970.94288264	49.2935352522	0.637550200803	406192.486725	25.4337349398	38.686746988	
12588.4046243	6.73988439306	7.46242774566	7.58959537572	22796.2023121	182.676300578	1.1098265896	0.705202312139	1836.06358382	23563230.2883	21.1404799224	14.8428181383	18.2317822571	116570379.318	5304.02346759	23.4140845234	0.830711864108	365645.847108	12.8612716763	24.1907514451	
12732.2783505	6.50515463917	5.0824742268	6.92783505155	19018.4020619	196.597938144	1.46391752577	0.556701030928	1969.77319588	18310786.3509	13.3087691286	8.47857594902	18.0459155177	72636866.6884	4078.89358843	30.553419244	0.356414887922	329214.033611	6.57731958763	15.4948453608	
11665.9178082	6.0	5.75342465754	5.91780821918	18228.7808219	172.287671233	3.0	0.986301369863	1767.53424658	15379624.2545	11.8399663542	7.17247957223	9.45765140592	51646026.5688	3569.82866799	41.1275384523	0.553628935352	228887.543619	4.75342465753	10.5616438356	
12622.0188679	7.41509433962	6.11320754717	8.56603773585	17919.2830189	184.169811321	0.0	0.377358490566	1906.13207547	17033737.0879	26.4805330937	8.06750524109	18.4685085355	48477849.8623	3147.38210542	0.0	0.261036238395	252465.49738	4.52830188679	9.11320754717	
12120.2890173	7.76878612717	7.46820809248	7.64450867052	21479.6300578	157.62716763	1.02890173411	0.693641618497	1840.61560694	28204382.9039	29.547888608	17.4393049777	22.622790997	116838275.314	5539.37833581	27.5997091986	0.761311942326	471018.366582	49.0115606936	89.6242774566	
13588.8142857	8.22857142857	7.0	7.32857142857	23153.4428571	196.757142857	1.61428571429	0.342857142857	1920.14285714	17450339.107	25.393622449	9.35362960975	13.1402837451	73402067.859	3838.56395453	5.26638023632	0.328566953097	218764.444388	5.31428571429	9.08571428571	
12546.6615384	6.75384615385	5.61538461538	8.47692307692	18520.8307692	191.646153846	3.83076923078	0.276923076923	1930.55384616	10960206.9469	15.3319088319	5.83105413105	18.6660968661	42451282.3366	2216.94002849	69.5712250713	0.167948717949	156570.64302	6.44615384615	16.0769230769	
12794.1640625	6.6953125	5.2890625	7.2265625	20207.421875	191.6171875	0.6015625	0.015625	1813.875	15722944.1113	13.5786779757	8.45701058057	19.0177467585	72886849.6433	3615.37045983	5.85066105769	0.03	234299.70492	11.03125	17.859375	
12648.6	7.91428571428	5.86666666667	6.71428571428	18789.7619048	181.523809524	2.11428571429	0.0476190476191	1848.78095238	23830432.3259	22.4560652414	12.5749499844	17.9689016045	91238669.0899	5169.70696086	50.3809322458	0.0402116402116	381207.934059	7.46666666667	12.2952380952	
12139.9944444	7.47222222222	5.30555555556	6.36666666667	17147.9388889	174.761111111	2.19444444444	0.338888888889	1775.98333334	21883879.3339	22.7459024104	8.56571942974	13.4214337155	58223004.2602	4878.79527631	50.1083009995	0.443362727807	333180.915488	57.1388888889	103.366666667	
12145.7066667	6.21333333333	6.26666666667	7.18666666667	18257.32	175.893333333	4.02666666667	0.653333333333	1971.2	19166033.9813	20.5725333333	13.2838666667	17.0585925926	77059233.8275	4372.83445926	71.335125926	0.883392592592	327351.237556	6.42666666667	15.8	
12548.8661417	7.14960629921	5.33070866142	6.66929133858	17982.488189	191.078740158	3.07874015749	0.433070866142	1848.0472441	14242222.3604	19.3335867326	7.17880603648	13.2272678109	51225485.8761	3110.73740745	36.1054998807	0.310260452583	188220.195778	10.4251968504	22.1811023622	
