avg_goldEarned	avg_kills	avg_deaths	avg_assists	avg_totalDamageTaken	avg_totalMinionsKilled	avg_visionScore	avg_visionWardsBoughtInGame	avg_gameDuration	var_goldEarned	var_kills	var_deaths	var_assists	var_totalDamageTaken	var_totalMinionsKilled	var_visionScore	var_visionWardsBoughtInGame	var_gameDuration	won	weight
11086.1717172	3.82828282828	5.28282828283	10.0404040404	30915.6767677	110.050505051	5.28282828282	1.65656565656	1880.14141414	9996543.95692	5.79611810748	5.4102157943	18.6274596616	159367981.386	2121.69126438	146.353867681	0.777415934234	198202.54858	4.24242424242	7.12121212121	
10163.9756098	1.91463414634	5.23170731707	12.5609756098	25701.402439	69.1829268292	9.40243902439	3.81707317073	1972.69512195	5723909.92373	3.19391368617	6.49049914384	40.5986680163	58762155.2483	1814.67385268	421.653676211	4.6940660965	138186.205906	6.48780487805	14.8536585366	
11715.75	5.26470588235	4.61764705882	7.10294117647	32814.1176471	190.014705882	5.92647058822	0.279411764706	1807.91176471	9388935.61877	7.82810952664	3.82464349376	16.6169538522	176435093.581	2926.78443751	25.5222816399	0.162334125569	171575.868316	14.3823529412	26.9117647059	
11389.3653846	5.38461538462	5.40384615384	10.0769230769	28580.6730769	106.326923077	7.0	0.846153846153	1929.0	19881744.91	13.4993548119	10.498439061	31.3479229104	226847137.384	4475.14117133	68.8111263737	0.303113553113	449221.974963	6.17307692308	11.7692307692	
11135.5090909	4.45454545455	6.78181818182	12.0363636364	30074.3090909	78.4	3.52727272727	0.818181818182	1866.94545455	15946013.1725	8.58025252525	11.8242424243	54.963030303	190250852.72	1082.77570707	56.7767676767	0.676515151515	342662.749949	3.41818181818	6.63636363636	
11985.88	4.5	5.86	10.04	35244.42	134.6	3.38	0.74	1912.92	8687359.79092	4.9159047619	5.12001587302	17.9653492063	178087798.195	3458.78601587	130.088	0.522253968254	190148.338349	4.26	6.04	
8778.30120482	1.4156626506	6.31927710843	12.7891566265	24984.3493976	39.9518072289	4.61445783133	1.80722891566	1773.03012048	10291948.2061	2.2539295799	11.3592710925	60.8245506994	151465977.935	433.64866168	314.509681061	3.35974538214	306064.418444	25.3795180723	55.8674698795	
9733.1875	2.80208333333	5.125	14.1458333333	24362.8645834	38.4270833333	5.91666666667	2.61458333333	1840.89583333	18889148.6979	5.50045965609	7.84085648148	77.3200231481	206591037.414	772.689348546	321.056005291	4.53549189815	537226.849817	21.875	40.1666666667	
11074.9786477	4.83985765124	4.62633451957	8.38790035587	25898.4448399	163.679715302	2.20996441281	1.18861209964	1787.32384342	15314124.3313	10.5021293258	6.94228007066	31.6293620945	142740844.016	4212.29469761	24.3792551532	1.14660454956	324972.396422	29.9501779359	56.3736654804	
10828.64	4.86	6.32	12.0	28422.34	116.966666667	5.05333333333	1.9	1869.16	13852946.1581	9.44207469346	9.89236672003	41.7799107514	142700434.705	3212.19970231	156.238249455	2.02017256716	302508.013076	24.5066666667	49.6	
