nick	n_matches	Assassin_avg_goldEarned	Assassin_var_goldEarned	Assassin_avg_kills	Assassin_var_kills	Assassin_avg_deaths	Assassin_var_deaths	Assassin_avg_assists	Assassin_var_assists	Assassin_avg_totalDamageTaken	Assassin_var_totalDamageTaken	Assassin_avg_totalMinionsKilled	Assassin_var_totalMinionsKilled	Assassin_avg_visionScore	Assassin_var_visionScore	Assassin_avg_visionWardsBoughtInGame	Assassin_var_visionWardsBoughtInGame	Assassin_avg_gameDuration	Assassin_var_gameDuration	Assassin_won	Assassin_weight	Fighter_avg_goldEarned	Fighter_var_goldEarned	Fighter_avg_kills	Fighter_var_kills	Fighter_avg_deaths	Fighter_var_deaths	Fighter_avg_assists	Fighter_var_assists	Fighter_avg_totalDamageTaken	Fighter_var_totalDamageTaken	Fighter_avg_totalMinionsKilled	Fighter_var_totalMinionsKilled	Fighter_avg_visionScore	Fighter_var_visionScore	Fighter_avg_visionWardsBoughtInGame	Fighter_var_visionWardsBoughtInGame	Fighter_avg_gameDuration	Fighter_var_gameDuration	Fighter_won	Fighter_weight	Mage_avg_goldEarned	Mage_var_goldEarned	Mage_avg_kills	Mage_var_kills	Mage_avg_deaths	Mage_var_deaths	Mage_avg_assists	Mage_var_assists	Mage_avg_totalDamageTaken	Mage_var_totalDamageTaken	Mage_avg_totalMinionsKilled	Mage_var_totalMinionsKilled	Mage_avg_visionScore	Mage_var_visionScore	Mage_avg_visionWardsBoughtInGame	Mage_var_visionWardsBoughtInGame	Mage_avg_gameDuration	Mage_var_gameDuration	Mage_won	Mage_weight	Marksman_avg_goldEarned	Marksman_var_goldEarned	Marksman_avg_kills	Marksman_var_kills	Marksman_avg_deaths	Marksman_var_deaths	Marksman_avg_assists	Marksman_var_assists	Marksman_avg_totalDamageTaken	Marksman_var_totalDamageTaken	Marksman_avg_totalMinionsKilled	Marksman_var_totalMinionsKilled	Marksman_avg_visionScore	Marksman_var_visionScore	Marksman_avg_visionWardsBoughtInGame	Marksman_var_visionWardsBoughtInGame	Marksman_avg_gameDuration	Marksman_var_gameDuration	Marksman_won	Marksman_weight	Support_avg_goldEarned	Support_var_goldEarned	Support_avg_kills	Support_var_kills	Support_avg_deaths	Support_var_deaths	Support_avg_assists	Support_var_assists	Support_avg_totalDamageTaken	Support_var_totalDamageTaken	Support_avg_totalMinionsKilled	Support_var_totalMinionsKilled	Support_avg_visionScore	Support_var_visionScore	Support_avg_visionWardsBoughtInGame	Support_var_visionWardsBoughtInGame	Support_avg_gameDuration	Support_var_gameDuration	Support_won	Support_weight	Tank_avg_goldEarned	Tank_var_goldEarned	Tank_avg_kills	Tank_var_kills	Tank_avg_deaths	Tank_var_deaths	Tank_avg_assists	Tank_var_assists	Tank_avg_totalDamageTaken	Tank_var_totalDamageTaken	Tank_avg_totalMinionsKilled	Tank_var_totalMinionsKilled	Tank_avg_visionScore	Tank_var_visionScore	Tank_avg_visionWardsBoughtInGame	Tank_var_visionWardsBoughtInGame	Tank_avg_gameDuration	Tank_var_gameDuration	Tank_won	Tank_weight	solo_q_tier	solo_q_division	flex_tier	flex_division
Ô Rato	492	11660.7826087	13009461.7353	6.5652173913	13.7240075614	7.21739130435	7.99621928166	8.4347826087	29.4631379962	27226.5652174	113920867.55	78.0	4475.82608696	0.869565217391	16.6351606805	1.39130434783	0.933837429112	1900.17391304	288100.056711	12	23	11684.7131148	19432111.9997	5.81967213115	15.4183015318	5.27049180328	8.85306369256	6.81967213115	24.8609244827	29542.147541	297835543.659	150.204918033	6129.88423811	7.05327868852	235.05044007	1.68852459016	1.80462241333	1806.00409836	358946.528672	134	244	11045.7916667	17630311.3733	4.83333333333	13.1388888889	5.5	10.875	6.70833333333	25.9565972222	19115.2291667	109392727.302	156.5	5430.08333333	4.39583333333	116.572482639	1.52083333333	0.916232638889	1791.125	345817.609375	20	48	13567.030303	34386598.8173	7.18181818182	36.8760330579	6.57575757576	11.8806244261	8.12121212121	23.9247015611	22575.3636364	138788316.05	197.909090909	6782.62809917	0.363636363636	4.23140495868	0.787878787879	0.77318640955	2070.51515152	555295.461892	11	33	10787.2222222	16404082.7951	2.75555555556	10.2735802469	7.82222222222	11.3017283951	12.7333333333	50.5511111111	23084.8666667	100839327.093	58.7333333333	3332.95111111	11.4222222222	579.177283951	2.06666666667	1.61777777778	1990.02222222	322101.755062	17	45	11086.1717172	12424368.8897	3.82828282828	7.35435159678	5.28282828283	8.44526068768	10.0404040404	29.048872564	30915.6767677	214864937.653	110.050505051	6093.21967146	5.28282828283	194.384654627	1.65656565657	1.07397204367	1880.14141414	244792.343638	57	99	PLATINUM	IV	SILVER	II	
Ô Filho	586	8667.75	6636171.6875	4.75	14.1875	5.5	8.25	6.75	14.1875	19090.75	38813724.6875	68.25	2058.1875	10.0	112.5	2.0	3.5	1516.75	46503.1875	2	4	10152.9142857	24758902.5069	4.34285714286	13.8824489796	4.25714285714	9.19102040816	5.64285714286	24.9153061224	22897.0857143	150973238.421	67.7	3998.18142857	8.21428571429	383.596938776	2.44285714286	2.67530612245	1685.85714286	521865.836735	33	70	11848.9809524	15555073.5044	4.71428571429	9.48027210884	4.54285714286	8.34340136054	9.38095238095	26.2358276644	14613.8190476	54079917.5196	121.561904762	7725.00807256	9.98095238095	727.142494331	3.90476190476	8.37188208617	1979.38095238	300309.778685	53	105	12557.4222222	23426791.844	5.45555555556	15.1591358025	4.63333333333	8.91	8.24444444444	24.7735802469	16906.95	80601990.7919	193.75	6581.20972222	8.01666666667	255.349722222	1.71666666667	1.79194444444	1884.92222222	382074.071728	86	180	9508.55862069	11440502.3431	1.68275862069	3.30625445898	3.81379310345	7.80670630202	14.3379310345	56.0030439952	14573.7793103	59056254.2823	28.7310344828	1039.87938169	19.8896551724	1250.66368609	4.52413793103	9.03562425684	1853.97241379	344203.833722	84	145	10163.9756098	7441175.68233	1.91463414634	4.32198096371	5.23170731707	7.98289708507	12.5609756098	57.3682331945	25701.402439	95215007.6551	69.1829268293	3162.17385485	9.40243902439	854.020969661	3.81707317073	5.34458655562	1972.69512195	192666.797293	33	82	GOLD	IV	SILVER	III	
Ótimo Pessimista	566	13018.7816092	17501179.2052	11.1954022989	38.1572202405	7.79310344828	9.10661910424	6.65517241379	14.133967499	23572.6436782	84655061.6317	167.195402299	3527.90434668	0.931034482759	9.39754260801	0.0229885057471	0.0454485400978	1902.77011494	272611.855199	44	87	11098.0517241	16481999.8766	6.34482758621	22.0190249703	6.79310344828	8.78478002378	7.6724137931	25.2547562426	28949.8793103	187521024.037	69.7068965517	4948.51753864	2.36206896552	22.0930439952	0.0	0.0	1890.56896552	307275.624554	18	58	12811.1970803	16609542.2312	8.76642335766	24.1352229741	5.55474452555	6.11561617561	8.33576642336	21.9456550695	16783.2408759	53217367.3069	185.518248175	3689.05258671	1.35766423358	20.4779157121	0.021897810219	0.0214182961266	1870.02919708	279177.692578	71	137	12773.9711538	24510252.9799	7.78365384615	30.6214635725	5.96153846154	9.0850591716	7.96153846154	23.5081360947	19883.7788462	88285106.7684	183.841346154	6504.47963665	2.75	32.3125	0.00961538461538	0.0191383136095	1847.92788462	340148.057299	108	208	10755.734375	16357764.7888	2.265625	5.19506835938	5.84375	7.9755859375	16.65625	92.1630859375	19792.390625	92843179.0193	31.703125	1962.83374023	5.59375	158.116210938	0.171875	0.142333984375	1868.765625	395198.429443	42	64	10688.3333333	10625014.5556	4.58333333333	14.0763888889	4.91666666667	4.07638888889	10.8333333333	47.8055555556	27379.8333333	115623019.472	63.5833333333	2502.74305556	0.75	1.85416666667	0.0	0.0	1858.83333333	169859.305556	6	12	PLATINUM	II	GOLD	V	
Óo Xanaina	382	11877.7058824	18434909.59	8.86764705882	18.5854238754	6.58823529412	12.6833910035	6.86764705882	20.3501297578	27910.2941176	176712180.325	69.2205882353	2990.37781142	0.588235294118	5.56574394464	0.147058823529	0.125432525952	1811.67647059	351931.307093	42	68	12325.9757085	17193314.4367	9.4008097166	30.0215378059	7.21052631579	10.5629661198	5.42914979757	13.6376927994	25236.4817814	108788761.351	154.538461538	4272.45904703	1.2024291498	16.9063908604	0.34008097166	0.28920323231	1839.87449393	271029.243358	135	247	13062.0	24001092.0833	10.2916666667	43.1232638889	8.375	17.8177083333	8.54166666667	19.9982638889	23147.75	121399401.854	138.375	5036.90104167	0.708333333333	11.5399305556	0.125	0.109375	1884.33333333	387314.972222	13	24	12833.625	26104854.6094	7.875	30.859375	9.5625	17.99609375	5.0625	13.55859375	24230.25	113871025.438	183.9375	5396.43359375	0.0	0.0	0.0	0.0	1955.0625	457873.933594	4	16	10138.2307692	7077816.7929	3.38461538462	8.54437869822	6.0	5.38461538462	15.0	56.7692307692	20472.3076923	37387338.6746	46.5384615385	2156.71005917	2.84615384615	20.2840236686	0.461538461538	0.248520710059	1803.61538462	121560.390533	9	13	12139.8571429	24775987.6939	6.35714285714	19.943877551	7.42857142857	14.387755102	10.7857142857	40.0255102041	31467.1428571	250468426.122	137.428571429	5731.10204082	0.357142857143	1.65816326531	0.214285714286	0.168367346939	1946.21428571	466935.596939	10	14	PLATINUM	III	DIAMOND	V	
Ó O GAIS	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14333.1212121	24896192.955	9.12121212121	18.0459136823	5.9696969697	9.18089990817	9.33333333333	29.0101010101	30122.8787879	160271530.107	111.636363636	12889.322314	9.09090909091	197.23415978	0.242424242424	0.183654729109	2099.06060606	306846.7236	16	33	11696.0	9075956.0	6.25	6.6875	6.75	12.1875	11.0	15.5	13830.0	8151682.5	65.75	5152.1875	0.0	0.0	1.5	0.25	2029.75	155728.6875	1	4	12042.3333333	16140568.0889	9.06666666667	30.5955555556	7.13333333333	13.0488888889	9.66666666667	23.6888888889	21677.9333333	71361224.5956	48.4	1047.30666667	0.0	0.0	0.0666666666667	0.0622222222222	1808.33333333	289862.755556	9	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SILVER	I			
Íagami	474	12926.3333333	18139005.5926	8.51851851852	25.2126200274	5.75925925926	8.21982167353	5.75925925926	14.4790809328	24708.2592593	112216808.636	197.888888889	5069.61728395	0.222222222222	2.61728395062	0.259259259259	0.229080932785	1848.09259259	228044.972908	26	54	13127.4387755	14988130.0422	6.24489795918	17.9400249896	6.34693877551	9.73677634319	5.86734693878	14.0538317368	28105.122449	150887750.883	218.918367347	5075.85047897	0.214285714286	2.25	0.15306122449	0.129633486047	1939.29591837	251508.228759	49	98	11861.9891304	18013376.1847	6.3152173913	18.5745510397	5.65217391304	9.53119092628	6.96739130435	17.9771975425	20461.6304348	103715540.418	183.592391304	5647.57842037	1.44565217391	25.0948724008	0.239130434783	0.2797731569	1815.1576087	308187.219725	95	184	13640.1666667	20546045.8056	6.5	10.9166666667	7.0	2.66666666667	8.5	30.25	27007.8333333	81722922.8056	198.166666667	6236.47222222	2.66666666667	35.5555555556	0.333333333333	0.222222222222	2148.0	181681.333333	3	6	10997.265625	15669859.4763	4.328125	11.2204589844	4.953125	7.45092773438	11.015625	37.0153808594	18766.9375	85697848.9336	127.421875	8468.43139648	0.65625	8.7880859375	0.375	0.265625	1825.5625	294079.371094	37	64	11715.75	10853439.1875	5.26470588235	10.1358131488	4.61764705882	4.29498269896	7.10294117647	20.2394031142	32814.1176471	217661415.045	190.014705882	4130.8674308	5.92647058824	62.7740051903	0.279411764706	0.20134083045	1807.91176471	177894.227509	36	68	PLATINUM	IV	PLATINUM	V	
Éo Stuart Litru	117	12761.2857143	11673169.9184	6.28571428571	13.9183673469	5.14285714286	5.83673469388	5.85714285714	15.2653061224	24152.7142857	37970511.3469	132.571428571	12437.1020408	0.0	0.0	0.142857142857	0.122448979592	2082.14285714	89372.9795918	2	7	13805.1060606	19315872.8827	9.16666666667	36.3207070707	3.93939393939	5.66299357208	6.36363636364	13.7465564738	21833.6363636	78211053.2617	120.136363636	5442.96625344	0.0	0.0	0.621212121212	0.659550045914	1950.31818182	239149.247245	37	66	13777.5	5454092.85	6.1	4.09	6.7	4.01	6.1	6.69	21218.2	42966663.36	209.2	2890.56	0.0	0.0	0.1	0.09	2159.4	97787.04	4	10	13728.3	26571510.01	7.93333333333	26.3288888889	4.83333333333	11.6722222222	7.5	24.25	19997.8333333	112921445.472	160.033333333	10372.4322222	0.0	0.0	0.5	0.716666666667	1996.0	424951.933333	18	30	8238.0	378225.0	4.5	2.25	3.0	0.0	11.0	1.0	10839.5	14042.25	23.5	6.25	0.0	0.0	1.0	1.0	1617.5	5852.25	1	2	7731.5	13939022.25	1.0	1.0	4.5	2.25	11.5	110.25	18642.5	132606740.25	18.5	72.25	0.0	0.0	1.0	1.0	1774.0	299209.0	1	2	GOLD	V	SILVER	I	
Éddy	329	12471.5555556	23252451.6173	7.94444444444	27.6820987654	5.2962962963	9.57887517147	5.37037037037	11.6406035665	30547.3148148	176028857.475	76.8333333333	5407.73148148	3.38888888889	121.311728395	0.833333333333	0.472222222222	1831.5	422977.398148	31	54	12182.5882353	12949528.654	5.91176470588	12.7863321799	5.26470588235	7.13581314879	6.23529411765	16.2387543253	29421.5	140451654.485	66.1764705882	4391.79238754	2.94117647059	99.6435986159	0.970588235294	0.557958477509	1848.14705882	234802.066609	21	34	12272.2063492	28921185.4654	8.06349206349	30.2499370118	4.68253968254	6.91509196271	5.7619047619	19.1020408163	16507.047619	66912300.1723	193.174603175	6899.79491056	3.28571428571	64.0770975057	0.555555555556	0.342151675485	1717.61904762	417692.489796	35	63	13462.4191176	17381262.067	7.11764705882	24.339100346	6.14705882353	7.8607266436	6.17647058824	16.821799308	20879.6029412	66872168.6659	215.522058824	3762.91127811	0.801470588235	19.0708801903	0.536764705882	0.586883650519	1884.01470588	252587.823313	70	136	10274.7368421	6114234.14127	2.05263157895	3.52354570637	4.13157894737	9.53531855956	13.3684210526	35.3905817175	20451.1315789	81543508.2195	27.8684210526	280.166897507	17.2368421053	847.233379501	1.86842105263	1.48268698061	1873.26315789	232981.193906	21	38	12067.75	6288629.6875	2.5	5.25	5.0	3.5	8.75	35.1875	37178.25	61769453.6875	99.5	8176.75	12.25	450.1875	1.5	0.75	2109.0	81631.5	2	4	DIAMOND	V	GOLD	I	
É Quente	120	12429.625	20252033.526	9.1875	31.2356770833	6.70833333333	10.4565972222	7.72916666667	24.3224826389	25499.0833333	152657355.326	131.145833333	3533.79123264	3.0	63.4166666667	2.04166666667	1.45659722222	1929.29166667	332995.331597	24	48	11970.2553191	10211247.7646	7.29787234043	14.975101856	6.36170212766	7.76278859212	8.1914893617	20.6654594839	28335.2340426	96379179.8388	69.9574468085	3323.65776369	1.70212765957	43.8687188773	2.42553191489	1.35083748302	1847.57446809	183315.478497	33	47	12637.2	14378734.36	8.6	16.64	5.1	4.49	8.9	23.29	19154.8	62609733.36	166.8	2173.96	0.0	0.0	2.5	3.05	1882.8	234118.56	6	10	14055.4285714	13962846.8163	7.28571428571	25.9183673469	5.0	1.71428571429	7.28571428571	9.63265306122	22970.8571429	70363419.551	218.857142857	2097.83673469	15.0	205.714285714	0.857142857143	0.69387755102	2088.14285714	107015.836735	4	7	10417.25	2295091.6875	4.25	5.1875	9.5	5.25	17.5	34.75	28362.5	42244796.25	33.25	48.6875	0.0	0.0	2.75	0.6875	1886.0	44103.5	2	4	10664.75	1414335.1875	5.0	0.5	3.25	2.1875	7.0	22.5	25333.0	2013618.5	133.0	4869.5	7.25	157.6875	2.75	0.6875	1681.25	13275.6875	3	4	GOLD	IV	SILVER	II	
É o Werhli né	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14370.5535714	14133607.0328	11.8035714286	34.9435586735	5.80357142857	9.30070153061	6.55357142857	12.2114158163	26312.6428571	122669119.23	137.660714286	6422.58131378	0.0	0.0	0.375	0.341517857143	1767.125	191209.180804	45	56	14289.2	5801541.76	9.0	5.2	7.8	2.56	4.6	5.04	25001.8	17387468.56	221.8	724.96	0.0	0.0	0.2	0.16	1999.6	51659.44	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10341.0	1855074.66667	4.33333333333	6.22222222222	5.66666666667	1.55555555556	17.6666666667	48.2222222222	22454.0	86146898.0	49.6666666667	234.888888889	0.0	0.0	0.333333333333	0.222222222222	1844.66666667	88011.5555556	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PLATINUM	II			
