nick	n_matches	Assassin_avg_kda	Assassin_avg_dmg	Assassin_avg_wr	Assassin_var_kda	Assassin_var_dmg	Assassin_var_wr	Assassin_weight	Fighter_avg_kda	Fighter_avg_dmg	Fighter_avg_wr	Fighter_var_kda	Fighter_var_dmg	Fighter_var_wr	Fighter_weight	Mage_avg_kda	Mage_avg_dmg	Mage_avg_wr	Mage_var_kda	Mage_var_dmg	Mage_var_wr	Mage_weight	Marksman_avg_kda	Marksman_avg_dmg	Marksman_avg_wr	Marksman_var_kda	Marksman_var_dmg	Marksman_var_wr	Marksman_weight	Support_avg_kda	Support_avg_dmg	Support_avg_wr	Support_var_kda	Support_var_dmg	Support_var_wr	Support_weight	Tank_avg_kda	Tank_avg_dmg	Tank_avg_wr	Tank_var_kda	Tank_var_dmg	Tank_var_wr	Tank_weight	Assassin_avg_goldEarned	Assassin_avg_totalDamageTaken	Assassin_avg_totalMinionsKilled	Assassin_avg_visionScore	Assassin_avg_visionWardsBoughtInGame	Assassin_var_goldEarned	Assassin_var_totalDamageTaken	Assassin_var_totalMinionsKilled	Assassin_var_visionScore	Assassin_var_visionWardsBoughtInGame	Fighter_avg_goldEarned	Fighter_avg_totalDamageTaken	Fighter_avg_totalMinionsKilled	Fighter_avg_visionScore	Fighter_avg_visionWardsBoughtInGame	Fighter_var_goldEarned	Fighter_var_totalDamageTaken	Fighter_var_totalMinionsKilled	Fighter_var_visionScore	Fighter_var_visionWardsBoughtInGame	Mage_avg_goldEarned	Mage_avg_totalDamageTaken	Mage_avg_totalMinionsKilled	Mage_avg_visionScore	Mage_avg_visionWardsBoughtInGame	Mage_var_goldEarned	Mage_var_totalDamageTaken	Mage_var_totalMinionsKilled	Mage_var_visionScore	Mage_var_visionWardsBoughtInGame	Marksman_avg_goldEarned	Marksman_avg_totalDamageTaken	Marksman_avg_totalMinionsKilled	Marksman_avg_visionScore	Marksman_avg_visionWardsBoughtInGame	Marksman_var_goldEarned	Marksman_var_totalDamageTaken	Marksman_var_totalMinionsKilled	Marksman_var_visionScore	Marksman_var_visionWardsBoughtInGame	Support_avg_goldEarned	Support_avg_totalDamageTaken	Support_avg_totalMinionsKilled	Support_avg_visionScore	Support_avg_visionWardsBoughtInGame	Support_var_goldEarned	Support_var_totalDamageTaken	Support_var_totalMinionsKilled	Support_var_visionScore	Support_var_visionWardsBoughtInGame	Tank_avg_goldEarned	Tank_avg_totalDamageTaken	Tank_avg_totalMinionsKilled	Tank_avg_visionScore	Tank_avg_visionWardsBoughtInGame	Tank_var_goldEarned	Tank_var_totalDamageTaken	Tank_var_totalMinionsKilled	Tank_var_visionScore	Tank_var_visionWardsBoughtInGame	solo_q_tier	solo_q_division	flex_tier	flex_division
 Osahc	322	1.36504810403	601194.722222	0.388888888889	0.0736181508758	163002510909.0	0.0570987654321	36	1.55022254488	697058.909091	0.49350649350599995	0.19013623483699998	174962028723.0	0.059481643897199996	77	1.88935552222	410664.844444	0.533333333333	0.543719844986	36906561168.7	0.106666666667	45	1.59164303219	558052.62069	0.396551724138	0.22487463789700002	59190074684.4	0.0411662703131	58	2.02780063074	158675.466667	0.4	1.0345570904	5414786086.12	0.08222222222219999	15	2.0501152885	513192.57894700003	0.526315789474	0.395558268481	156337880774.0	0.083810403201	38	10183.272727299998	20322215.3802	25199.5454545	206173851.79299998	75.29545454550001	3306.43543388	2.72727272727	84.7892561983	0.477272727273	0.43130165289300004	10472.533333299998	16919160.4044	27293.1	266526001.646	74.9222222222	3939.82728395	3.27777777778	80.57839506170001	0.611111111111	0.65987654321	11802.2352941	15213823.0035	22137.098039200002	113274213.06899999	117.13725490200001	3414.58900423	2.25490196078	30.778162245300003	0.686274509804	0.803537101115	11135.590909100001	30745670.0599	22436.181818200002	141853331.391	122.0	3867.21212121	1.5606060606099998	31.8523875115	0.19696969697	0.249081726354	9378.15789474	21218366.6593	20723.8947368	142449296.726	47.6842105263	1786.00554017	2.26315789474	92.19390581719999	1.47368421053	2.35457063712	11214.0	21905390.2308	31653.019230799997	294797750.903	95.6153846154	4830.92899408	1.7115384615399998	36.4360207101	0.673076923077	1.06619822485	BRONZE	III	nan	nan	
20Come70Fuji	20	1.7899839790099998	2205799.65306	0.397959183673	0.14583826842	402495094371.0	0.0221672945616	98	1.57809025209	3937787.03911	0.46927374301700003	0.156154575392	5813335819320.0	0.0169695507364	179	1.5037605198700001	2211098.54167	0.416666666667	0.124961594587	1178658840490.0	0.0248538011696	24	2.5357142857099997	571929.0	0.75	0.0	0.0	0.0	4	2.91666666667	149447.0	0.5	0.0	0.0	0.0	2	2.29662100735	2759278.92982	0.508771929825	0.326285776857	2629237340640.0	0.0248163676142	57	9546.85714286	7607463.836730001	24814.428571400003	95061711.10200001	66.8571428571	1944.40816327	7.57142857143	39.387755102	0.0	0.0	10671.444444399998	6923380.91358	28527.6666667	43790180.2222	80.7777777778	3281.0617284	7.333333333330001	64.2222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7774.0	0.0	15256.0	0.0	65.0	0.0	8.0	0.0	0.0	0.0	9831.0	9063798.0	27113.6666667	81633970.8889	69.0	662.0	3.33333333333	22.2222222222	0.0	0.0	BRONZE	III	BRONZE	II	
20matar agr	23	3.2093216812299996	11212246.4045	0.606741573034	0.011072333431599999	1380232068870.0	0.00418335609599	89	2.29445744716	1976984.63905	0.43195266272200006	0.930727301566	839651270069.0	0.0321956277987	169	2.33442755586	2823600.0090900003	0.481818181818	0.464050738949	2369091124640.0	0.019677191495400002	110	2.10897104482	1972632.5263200002	0.447368421053	0.039223891199699996	467523696251.0	0.007646583564170001	38	2.68804926403	951795.5	0.447368421053	0.050029840449599995	88189762391.7	0.00419025251917	38	2.0533179925	1358374.2083299998	0.3125	0.483006537965	784130545911.0	0.0163928952991	48	12670.5	45964547.25	19200.3333333	84757939.2222	122.666666667	5029.88888889	0.0	0.0	0.0	0.0	11388.111111100001	27831774.5432	28582.3333333	261640441.11099997	131.0	5007.33333333	10.3333333333	284.444444444	0.444444444444	0.246913580247	11822.25	11124520.6875	22263.75	11765906.1875	145.5	1778.25	0.0	0.0	0.0	0.0	952.0	0.0	1165.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6781.33333333	22050621.5556	12595.0	82327228.6667	30.0	674.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	BRONZE	I	BRONZE	V	
4 BLUEHAND 2	3	0.9545454545450001	218276.0	0.5	0.0	0.0	0.0	2	1.36973632428	539061.7272729999	0.363636363636	0.0423758739204	52870985899.8	0.046556473829199994	11	1.7939854263400001	1201619.17647	0.35294117647100004	0.139335145391	377223886382.0	0.047378227309	17	1.0	219220.0	0.0	0.0	0.0	0.0	3	3.3328373015900006	187355.333333	0.555555555556	0.920006515338	5553462519.56	0.0564373897707	9	2.07056277056	87212.1666667	0.5	0.9540769475830001	4823217923.14	0.25	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4557.0	14379264.0	6106.0	30991489.0	60.0	3136.0	0.0	0.0	1.0	0.0	11197.0	0.0	15215.0	0.0	133.0	0.0	25.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	BRONZE	II	nan	nan	
8Dark Angel8	22	3.7619047619	89776.75	0.75	0.37641723356	796410437.6880001	0.1875	4	2.34166666667	140848.25	0.5	1.906875	1955550910.69	0.25	4	3.6830357142900003	129935.375	0.375	10.526606345700001	5640292996.98	0.234375	8	3.12222222222	402874.333333	0.33333333333299997	0.927839506173	53857415779.3	0.133333333333	9	6.84857142857	69463.2	0.4	62.435395918400005	2464027736.16	0.14	5	7.166666666669999	151362.0	0.666666666667	39.0138888889	144432008.0	0.0555555555556	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13143.0	3400336.0	38559.0	384944400.0	161.5	272.25	0.0	0.0	1.5	0.25	12188.8	12350070.56	18171.8	87384246.16	180.4	5725.84	13.0	183.6	0.4	0.24	14438.25	42711168.6875	21066.625	101252584.984	195.25	7572.6875	8.5	226.5	0.375	0.234375	10955.6	16245430.24	24205.2	249506261.36	56.0	1952.4	11.4	397.44	1.0	0.8	13054.0	8491396.0	34122.5	116025212.25	58.0	441.0	54.5	756.25	1.0	0.0	BRONZE	V	BRONZE	IV	
AhSlá Gamex	121	2.8558455433499996	1606363.14286	0.714285714286	2.91639557183	536466821012.0	0.0222634508349	14	2.19265443636	477386.807692	0.423076923077	0.658642827185	44996626859.8	0.08840518455900001	26	2.7965581743400003	1122136.22222	0.592592592593	0.34305950655999995	512988184664.0	0.0264795218499	27	2.08606811146	306604.8	0.4	0.0288564061766	37632116.16	0.00666666666667	5	3.39561713649	230386.434783	0.5652173913040001	1.10147150127	11228181923.3	0.0334704770377	23	3.72051282051	347733.75	0.5625	1.8990486924599999	39559626470.3	0.05859375	16	16129.928571399998	12090662.0663	30406.9285714	90821435.6378	182.142857143	2412.12244898	12.2142857143	240.59693877599997	0.428571428571	0.387755102041	11046.5517241	26621036.3853	26479.4827586	170472409.836	109.206896552	8116.43995244	10.0	181.103448276	0.724137931034	1.2342449464899998	11403.862068999999	18316019.843	25047.0	173447486.55200002	115.310344828	6297.24851367	8.75862068966	96.3900118906	0.586206896552	0.7253269916769999	12856.4	10250745.84	20937.0	21502374.0	156.2	2426.56	4.8	18.96	0.6	0.24	8088.42307692	10967581.2441	16406.4230769	102972473.39799999	19.8461538462	191.20710059200002	5.807692307690001	85.0784023669	0.884615384615	1.10207100592	10808.3333333	22293483.0	26808.6666667	213940534.444	75.0	3868.22222222	8.055555555560002	117.608024691	1.22222222222	1.50617283951	BRONZE	II	BRONZE	IV	
Alex Shimitsu	50	3.0959595959599997	114762.33333299999	0.33333333333299997	5.240638710340001	2526838196.22	0.222222222222	3	2.8167857142900004	349549.5	0.642857142857	0.5336664540820001	13546524418.3	0.0748299319728	14	5.88354978355	210945.090909	0.636363636364	21.6219794419	1640755759.36	0.140495867769	11	2.6640070922	806777.5	0.625	0.0824491662894	79788683916.8	0.00520833333333	8	3.8428571428600002	188871.5	0.75	0.19612244897999997	10609309002.3	0.0625	4	4.57936507937	244342.333333	0.555555555556	7.4494834971	24944257769.6	0.11358024691400001	9	13266.0	3860586.0	27070.0	136441746.0	144.66666666700002	528.2222222219999	13.333333333299999	13.5555555556	0.0	0.0	11982.9285714	8445476.4949	26182.571428599997	122778534.816	91.0	2598.57142857	4.6428571428600005	34.0867346939	0.428571428571	0.387755102041	13002.1818182	9972558.33058	18801.181818200002	75675294.3306	149.90909090899999	4828.08264463	3.8181818181800002	19.9669421488	0.0909090909091	0.0826446280992	14845.75	3245150.6875	23804.625	8898424.734380001	187.625	2519.984375	8.625	70.984375	0.25	0.1875	9498.0	22854092.8	17316.2	97197118.96	83.6	5489.84	8.2	103.36	0.8	1.36	7984.66666667	4547874.22222	16874.3333333	26221235.3333	37.777777777800004	1083.95061728	4.222222222219999	41.061728395100005	0.666666666667	0.444444444444	BRONZE	III	BRONZE	II	
AlexxisTexxas	71	1.98484848485	382400.666667	0.33333333333299997	0.515266299357	14512400555.6	0.0138888888889	6	1.6105128205099999	593060.466667	0.33333333333299997	0.21204790844799998	33600994913.7	0.024444444444400002	15	1.5362903225799998	193838.25	0.5	0.00043899583766900005	363643785.188	0.08333333333330001	4	1.9683474073099998	702549.0	0.46153846153800004	0.110901016361	53543099123.1	0.03698224852069999	13	2.56924019608	229568.25	0.5	0.733733344747	16796079702.9	0.1	8	3.01081730769	223308.375	0.375	3.1041003490200003	23140430754.5	0.151041666667	8	9339.0	22508873.4286	20670.8571429	128484779.551	84.5714285714	4988.81632653	0.0	0.0	0.14285714285700002	0.122448979592	11780.3	30436110.31	28329.6	217593344.24	121.8	7214.66	0.0	0.0	0.35	0.4275	10487.5	16987141.25	17061.25	22735418.1875	111.25	3949.1875	0.0	0.0	0.25	0.1875	14732.6	10714470.64	25649.8666667	76224717.7156	182.466666667	1607.71555556	0.0	0.0	0.133333333333	0.115555555556	11456.4545455	19857721.157	26796.0	150913371.818	48.181818181800004	2603.23966942	0.0	0.0	1.1818181818200002	1.6033057851199999	10866.714285700002	17679456.6327	21392.0	94769863.2857	116.85714285700001	4894.40816327	0.0	0.0	0.14285714285700002	0.122448979592	BRONZE	III	BRONZE	V	
AlfaceFumaPão	193	2.3518170426099996	395420.125	0.625	0.29485671808	28214422991.4	0.05729166666669999	8	2.4279018253499998	2295529.09677	0.548387096774	0.505615352993	3000109149140.0	0.041087601649500004	93	1.8484848484799998	287886.6	0.5	1.1692837465600001	34482672591.4	0.175	10	2.87819548872	1554253.3684200002	0.631578947368	0.635279426637	823970945613.0	0.00799062433411	19	3.3443223443199996	243775.07692300002	0.846153846154	0.9408351111650001	19164331012.5	0.0105193951348	13	1.99895037604	288397.409091	0.5	0.267869418171	35103602265.8	0.107575757576	22	9033.41666667	27090870.5764	20200.0833333	173287718.41	74.0833333333	4708.07638889	0.0	0.0	0.166666666667	0.138888888889	11718.733945	25536979.9934	28782.1834862	262601241.875	121.58715596299999	5080.15066072	0.0	0.0	0.284403669725	0.295261341638	12002.6363636	6540351.32231	23429.0	69214514.0	142.727272727	1345.47107438	0.0	0.0	0.0	0.0	14015.2857143	23404805.3469	25294.190476199998	127092785.202	153.952380952	4428.14058957	0.0	0.0	0.0	0.0	9844.92857143	14539948.352	20293.428571400003	122551567.95899999	19.2142857143	245.454081633	0.0	0.0	0.714285714286	1.34693877551	11236.1538462	14888723.1302	34636.346153800005	238019145.534	90.0	3574.07692308	0.0	0.0	0.346153846154	0.30325443786999995	BRONZE	III	SILVER	V	
Alguém me mata	34	1.12272727273	67196.5	0.0	0.333243801653	334103562.25	0.0	2	4.29797979798	198605.0	0.5	19.128073666	4315427112.0	0.138888888889	6	7.375	102563.75	0.75	32.921875	2275767325.69	0.0625	4	3.5527210884400002	443688.71428599994	0.714285714286	2.2515329261000003	65704900891.8	0.132653061224	14	1.48	73579.4	0.4	0.3456	1587963080.64	0.24	5	6.3	121533.0	1.0	7.29	885598081.0	0.0	2	6374.33333333	17314370.8889	14077.0	101312344.66700001	47.6666666667	3657.55555556	0.0	0.0	0.666666666667	0.888888888889	10616.4	9786250.64	25694.2	118060150.96	103.8	11171.76	0.0	0.0	1.6	0.64	8165.25	3859124.6875	7609.75	1178144.6875	97.0	1144.5	0.0	0.0	0.75	0.6875	11853.6666667	33626166.3556	15311.2666667	106520153.529	159.33333333299998	4207.42222222	0.0	0.0	1.13333333333	1.98222222222	9398.2	12615721.36	19464.0	53840978.0	44.8	2024.56	0.0	0.0	0.4	0.64	12653.0	5635876.0	25562.0	272085025.0	181.0	2401.0	0.0	0.0	0.0	0.0	BRONZE	I	SILVER	IV	
